unique_funder,matched_funder,matched_funder_code,matched_object
National Science Foundation,"National Science Foundation (United States, Alexandria) - NSF",41___NATIONAL_SCIENCE_FOUNDATION_(ALEXANDRIA),child/Exact
National Institutes of Health,"National Institutes of Health (United States, Bethesda) - NIH",41___NATIONAL_INSTITUTES_OF_HEALTH_(BETHESDA),child/Exact
Ministerio de Economía y Competitividad,"Ministry of Economy, Industry and Competitiveness (Spain, Madrid) - MINECO","41___MINISTRY_OF_ECONOMY,_INDUSTRY_AND_COMPETITIVENESS_(MADRID)",child/Exact
National Institute of General Medical Sciences,"National Institute of General Medical Sciences (United States, Bethesda) - NIGMS",41___NATIONAL_INSTITUTE_OF_GENERAL_MEDICAL_SCIENCES_(BETHESDA),child/Exact
National Natural Science Foundation of China,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),child/Exact
U.S. Department of Energy,"United States Department of Energy (United States, Washington) - DOE",41___UNITED_STATES_DEPARTMENT_OF_ENERGY_(WASHINGTON_D.C.),child/Exact
Division of Materials Research,"Division of Materials Research (United States, Arlington) - NSF DMR",41___DIVISION_OF_MATERIALS_RESEARCH_(ARLINGTON),child/Exact
H2020 European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),child/Exact
Narodowe Centrum Nauki,"National Science Center (Poland, Krakow) - NCN",41___NATIONAL_SCIENCE_CENTER_(KRAKOW),child/Exact
National Institute on Drug Abuse,"National Institute on Drug Abuse (United States, Bethesda) - NIDA",41___NATIONAL_INSTITUTE_ON_DRUG_ABUSE_(BETHESDA),child/Exact
National Institute on Aging,"National Institute on Aging (United States, Baltimore) - NIA",41___NATIONAL_INSTITUTE_ON_AGING_(BALTIMORE),child/Exact
Ministerio de Ciencia e Innovación,"Ministry of Economy, Industry and Competitiveness (Spain, Madrid) - MINECO","41___MINISTRY_OF_ECONOMY,_INDUSTRY_AND_COMPETITIVENESS_(MADRID)",child/Exact
Japan Society for the Promotion of Science,"Japan Society for the Promotion of Science (Japan, Tokyo) - JSPS",41___JAPAN_SOCIETY_FOR_THE_PROMOTION_OF_SCIENCE_(TOKYO),child/Exact
European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS),child/Exact
National Institute of Neurological Disorders and Stroke,"National Institute of Neurological Disorders and Stroke (United States, Bethesda) - NINDS",41___NATIONAL_INSTITUTE_OF_NEUROLOGICAL_DISORDERS_AND_STROKE_(BETHESDA),child/Exact
Agence Nationale de la Recherche,"Agence Nationale de la Recherche (France, Paris) - ANR ",41___AGENCE_NATIONALE_DE_LA_RECHERCHE_(PARIS),child/Exact
National Institute of Mental Health,"National Institute of Mental Health (United States, Bethesda) - NIMH",41___NATIONAL_INSTITUTE_OF_MENTAL_HEALTH_(BETHESDA),child/Exact
Vetenskapsrådet,"Swedish Research Council (Sweden, Stockholm) - VR",41___SWEDISH_RESEARCH_COUNCIL_(STOCKHOLM),child/Exact
Deutsche Forschungsgemeinschaft,"Deutsche Forschungsgemeinschaft (Germany, Bonn) - DFG",41___DEUTSCHE_FORSCHUNGSGEMEINSCHAFT_(BONN),child/Exact
Knut och Alice Wallenbergs Stiftelse,"Knut and Alice Wallenberg Foundation (Sweden, Stockholm)",41___KNUT_AND_ALICE_WALLENBERG_FOUNDATION_(STOCKHOLM),child/Exact
